"idhod","hodnota","ukaz_kod","vzdelani_cis","vzdelani_kod","uzemi_cis","uzemi_kod","sldb_rok","sldb_datum","ukaz_txt","vzdelani_txt","uzemi_txt"
"945031693","674","3162","5784","105","43","500526","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Střední vč. vyučení (bez maturity)","Bělkovice-Lašťany"
"945031694","265","3162","5784","109","43","500526","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vysokoškolské","Bělkovice-Lašťany"
"945031695","230","3162","5784","117","43","500526","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Základní vč. neukončeného","Bělkovice-Lašťany"
"944986150","13","3162","5784","130","43","500526","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vyšší odborné, konzervatoř","Bělkovice-Lašťany"
"944986840","932","3162",,,"43","500623","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let",,"Bílá Lhota"
"945025173","5","3162","1294","001","43","500623","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Bez vzdělání","Bílá Lhota"
"945018418","36","3162","1294","900","43","500623","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Nezjištěno","Bílá Lhota"
"944986153","269","3162","5181","35450001","43","500623","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Úplné  střední (s maturitou), vč. nástavbového a pomaturitního","Bílá Lhota"
"945031831","377","3162","5784","105","43","500623","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Střední vč. vyučení (bez maturity)","Bílá Lhota"
"944986151","96","3162","5784","109","43","500623","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vysokoškolské","Bílá Lhota"
"944986152","133","3162","5784","117","43","500623","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Základní vč. neukončeného","Bílá Lhota"
"944986154","16","3162","5784","130","43","500623","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vyšší odborné, konzervatoř","Bílá Lhota"
"944986841","533","3162",,,"43","500801","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let",,"Blatec"
"945011924","0","3162","1294","001","43","500801","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Bez vzdělání","Blatec"
"945025294","32","3162","1294","900","43","500801","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Nezjištěno","Blatec"
"945011791","158","3162","5181","35450001","43","500801","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Úplné  střední (s maturitou), vč. nástavbového a pomaturitního","Blatec"
"945025174","207","3162","5784","105","43","500801","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Střední vč. vyučení (bez maturity)","Blatec"
"944986155","67","3162","5784","109","43","500801","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vysokoškolské","Blatec"
"944998424","60","3162","5784","117","43","500801","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Základní vč. neukončeného","Blatec"
"944998552","9","3162","5784","130","43","500801","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vyšší odborné, konzervatoř","Blatec"
"944986842","2023","3162",,,"43","500852","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let",,"Bohuňovice"
"944998553","12","3162","1294","001","43","500852","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Bez vzdělání","Bohuňovice"
"945005220","71","3162","1294","900","43","500852","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Nezjištěno","Bohuňovice"
"944986408","667","3162","5181","35450001","43","500852","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Úplné  střední (s maturitou), vč. nástavbového a pomaturitního","Bohuňovice"
"945031959","636","3162","5784","105","43","500852","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Střední vč. vyučení (bez maturity)","Bohuňovice"
"945025295","357","3162","5784","109","43","500852","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vysokoškolské","Bohuňovice"
"944986407","246","3162","5784","117","43","500852","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Základní vč. neukončeného","Bohuňovice"
"944986409","34","3162","5784","130","43","500852","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vyšší odborné, konzervatoř","Bohuňovice"
"944986843","1226","3162",,,"43","500861","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let",,"Bouzov"
"944997737","4","3162","1294","001","43","500861","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Bez vzdělání","Bouzov"
"945024538","54","3162","1294","900","43","500861","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Nezjištěno","Bouzov"
"945025296","334","3162","5181","35450001","43","500861","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Úplné  střední (s maturitou), vč. nástavbového a pomaturitního","Bouzov"
"944986410","484","3162","5784","105","43","500861","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Střední vč. vyučení (bez maturity)","Bouzov"
"945031960","179","3162","5784","109","43","500861","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vysokoškolské","Bouzov"
"944986411","164","3162","5784","117","43","500861","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Základní vč. neukončeného","Bouzov"
"945025297","7","3162","5784","130","43","500861","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vyšší odborné, konzervatoř","Bouzov"
"944986844","670","3162",,,"43","500879","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let",,"Bystročice"
"945011097","6","3162","1294","001","43","500879","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Bez vzdělání","Bystročice"
"945017821","30","3162","1294","900","43","500879","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Nezjištěno","Bystročice"
"945017820","197","3162","5181","35450001","43","500879","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Úplné  střední (s maturitou), vč. nástavbového a pomaturitního","Bystročice"
"944984849","228","3162","5784","105","43","500879","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Střední vč. vyučení (bez maturity)","Bystročice"
"945024539","112","3162","5784","109","43","500879","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vysokoškolské","Bystročice"
"944984850","85","3162","5784","117","43","500879","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Základní vč. neukončeného","Bystročice"
"944984851","12","3162","5784","130","43","500879","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vyšší odborné, konzervatoř","Bystročice"
"945032185","1587","3162",,,"43","501476","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let",,"Dlouhá Loučka"
"944985108","11","3162","1294","001","43","501476","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Bez vzdělání","Dlouhá Loučka"
"945011231","84","3162","1294","900","43","501476","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Nezjištěno","Dlouhá Loučka"
"944997874","422","3162","5181","35450001","43","501476","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Úplné  střední (s maturitou), vč. nástavbového a pomaturitního","Dlouhá Loučka"
"944997873","642","3162","5784","105","43","501476","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Střední vč. vyučení (bez maturity)","Dlouhá Loučka"
"945024664","154","3162","5784","109","43","501476","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Vysokoškolské","Dlouhá Loučka"
"944985107","255","3162","5784","117","43","501476","2021","2021-03-26","Počet obyvatel s obvyklým pobytem ve věku 15 a více let","Základní vč. neukončeného","Dlouhá Loučka"
